CALENDARIO,COLEGIO,CELULAR
A,"Institución Educativa Llano Verde
 Sede Principal",3174299270
A,"Institución Educativa Llano Verde
 Sede Calimio Desepaz",3162824060
A,"Institución Educativa Llano Verde
 Sede Calimio Norte",3165278775
A,"Institución Educativa Llano Verde
 Sede Invicali Desepaz",3162730195
A,"Institución Educativa Llano Verde
 Sede Sede San Felipe",3165277785
A,"Institución Educativa Llano Verde
 Sede Sede San Luis",3164784577
A,"Institución Educativa Llano Verde
 Sede Aguacatal",3165247893
A,"Institución Educativa Llano Verde
 Sede Comuneros II",3164677048
A,"Institución Educativa Llano Verde
 Sede Colegio Nariño",3186104911
A,"Institución Educativa Llano Verde
 Sede Bartolome Mitre",3173870703
A,"Institución Educativa Llano Verde
 Sede La Providencia",3173771646
A,InstituciÓn Educativa Nelson Garces Vernaza,3042390401
A,"Colegio Santa Isabel de Hungría
 Sede Alfonso López",3162784605
A,Colegio Santa Luisa de Marillac,3177518865
A,"Colegio Parroquial
 San Joaquín",3158175663
A,"Colegio Parroquial
 San Joaquín 2",3174391873
A,Colegio Arquidiocesano Juan Pablo II,3174033624
A,Centro Docente Parroquial San Marcos,3175165504
A,Colegio Compartir,3165288959
A,"Colegio Parroquial
 San francisco javier",3154712732
B,"Colegio Parroquial
 San Pedro Claver",3164806820
B,"Colegio Parroquial
 Santiago ApÓstol",3155778814
B,"Colegio Parroquial
 San Juan Bautista",3153084256
B,"Colegio Parroquial
 Nuestra Señora de Guadalupe",3165238723
B,Colegio Mayor Santiago de Cali,3153360204
B,Instituto Comercial Arquidiocesano,3165268469
B,"Colegio Parroquial
 Nuestra Señora de los Andes",3156292790
B,"Institución Educativa
 San Francisco Javier",3154151822
B,"Colegio Santa Isabel de Hungría
 Sede Ciudad 2000",3165260723
B,"Institución Educativa
 Nuestra Señora del Rosario",3175175728
B,Colegio Nuestra Señora de Chiquinquirá,3185241934
